Line,Category,Area,2024 Budget,2024 Actuals,2025 Budget,2025 Actuals,2025 Notes,2026 Budget,2026 Notes
52,General,Cell Telephone Service,18948,13410.16,25200,14397,,20400,"Manager, Assistant, Maintenance & Security"
53,General,Building Insurance,670000,559526,636474,615783.58,,665918.73,Current policy (includes Hydro) + D&O Policy. This policy renews in May.  Esimated until final quote is received.
54,General,Insurance Gym Equipment,0,0,11160,10303.6,Original lease required equipment insurance,0,Required by previous lease agreement. No longer applies
55,General,Frakcio System.,0,0,24000,31320,Annual contract,31320,Communication platform
56,General,Automated Reading System (CFE),0,0,11600,0,,12000,System to remotely read all CFE meters
57,General,General Contingency,200000,0,200000,0,,150000,Unforseen expenses
58,General,Federal  Zone,130000,120003.14,130000,0,Federal Zone Payment due in 2027,0,Federal Zone Payment due in 2027.  Lengthy reapplication process begins in late 2026.
59,Capital Expenses / Special Projects,Pool Furniture Purchase,0,0,148000,116043.5,,0,No purchase expected in 2026
60,Capital Expenses / Special Projects,Window cleaning,0,0,58000,58000,,0,See line 22
61,Capital Expenses / Special Projects,Gym equipment,0,0,26360,60351.18,Includes small accessories and refresh,30000,Swap one excercise bike for spinning bike
62,Capital Expenses / Special Projects,Rehabilitation of the wooden deck of the upper pool and ground floor.,0,0,545872,430769.8,See detailed explanation in Assembly presentation page 22,0,Already in Line 18
63,Capital Expenses / Special Projects,Irrigation System Update,0,0,0,0,,90468.4,Planter boxes causing water stains and deteroriation on side of building. Repair as required to current system.
64,Capital Expenses / Special Projects,Audio Systems,0,0,0,0,,100000,"Repair, purchase of new equipment, and system reconfiguration was required, quoted, and paid for in February 2026 due to failure of wiring, equipment, main switch, and system configuration, resulting in intermitent wi-fi connectivity and inconsistent service, negatively affecting functionality of security cameras."
65,Reserve Fund Collection,Reserve Fund Collection,642025.29,642025.29,260000,260000,,260000,Continue to build fund

